"jS_mouseID","jS_sex","jS_lon","jS_lat","jS_year","jS_BMI","jS_HI","jS_Ntrapped","ID","imperv","tcd","clc","swf_perc","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","soil_moist","soil_ph","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","clc_fct"
"AA_0197","F",14.1267,52.7347,"2016",-2.88751821743945,0.88,5,1,10.0500001907349,21,"112",25,63.9209899902344,57.3201866149902,41.3571472167969,38.0898857116699,62.1557388305664,5.99977588653564,87.0568161010742,6.10244607925415,1.15889191627502,1.55216419696808,0.00633460888639092,0.122264824807644,0.163755640387535,0.668310701847076,"12064512","2"
"AA_0089","F",13.84,52.2678,"2016",-0.122620312450173,0.05,5,2,14.960000038147,39.4099998474121,"112",24,17.9350891113281,137.641799926758,34.8562812805176,38.5265922546387,64.4377899169922,10.5105895996094,87.9960250854492,5.7642068862915,0.0829539373517036,0.00155612896196544,0.0497434139251709,0.00609570322558284,0.000114349008072168,3.65529465675354,"12061217","2"
"SK_3023","F",12.2672,48.9256,"2015",2.11807813546583,0.78,5,3,62.9300003051758,3.16000008583069,"112",7,12.6829671859741,57.6934013366699,32.9931182861328,46.6051864624023,101.032455444336,52.7311744689941,102,7.85071659088135,0.877717077732086,0.0491081885993481,8.19226406747475e-05,0.16367781162262,0.00915775820612907,0.0152770392596722,"09375170","2"
"SK_3003","F",12.3836,49.0664,"2015",1.22698096225978,0.43,7,4,23.5900001525879,0,"211",0,15.8036270141602,65.7864990234375,54.7582702636719,62.1403541564941,116.760665893555,56.0604286193848,104.902252197266,6.0301718711853,1.02594614028931,0.00723065715283155,3.35459590132814e-05,0.336113542318344,0.00236885901540518,0.0109901009127498,"09375120","3"
"SK_3163","M",13.8756,52.6053,"2015",-2.10465659454137,0.95,12,5,67.4199981689453,0.270000010728836,"112",0,35.2653617858887,97.4070205688477,27.4374332427979,46.5084648132324,73.0497360229492,11,90.9610061645508,4.84835958480835,0.121439479291439,0.0863277539610863,7.63468560762703e-05,0.0113624865189195,0.00807725824415684,0.00714339502155781,"12064029","2"
"AA_0367","F",13.9578,52.7714,"2017",-1.96123205514963,0.68,3,6,37.6199989318848,0,"112",0,13.2721347808838,110.828819274902,38.726936340332,39.8969421386719,67.5065460205078,10.7132692337036,93.255126953125,5.52506685256958,0.522292137145996,0.0203626975417137,9.61831829044968e-05,0.0870922580361366,0.00339548150077462,0.016038553789258,"12064125","2"
"AA_0180","F",13.2144,53.1514,"2016",-2.28977528442429,0.8,3,7,37.2099990844727,0,"112",0,73.8466033935547,232.88703918457,50.6054039001465,36.8394432067871,59.6054039001465,25.9978694915771,93.7740859985352,5.67053747177124,0.000240711160586216,7.25991731087561e-06,5.60886765015312e-05,1.12378320409334e-05,3.3893624618031e-07,0.00261855381540954,"12065084","2"
"AA_0073","F",13.3047,52.9936,"2016",-0.859971271437985,0,7,8,9.17000007629395,0,"211",1,104.969741821289,594.888977050781,47.1969833374023,38.3888206481934,56.1969833374023,15.8309297561646,92.0007476806641,6.61646509170532,3.41104459762573,0.0392261631786823,0.0959925428032875,0.152729421854019,0.00175635027699172,4.29806327819824,"12065356","3"
"AA_0625","M",14.0939,53.0706,"2018",0.881018884952497,0.85,7,9,56.5299987792969,0,"121",0,24.508186340332,316.626281738281,24.2312984466553,42.9505004882812,53.7810249328613,14.0121917724609,91.7855987548828,7.04087114334106,0.162654235959053,0.0085555724799633,0.009685929864645,0.126281678676605,0.00664238492026925,7.51997375488281,"12073440","1"
"AA_0349","F",13.4408,53.0497,"2017",-3.4059441070837,0.7,14,10,60.8400001525879,3.14000010490417,"112",0,23.9181709289551,118.092124938965,42.1488952636719,38.2435302734375,54.139331817627,18.4349002838135,92.2370071411133,NA,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","2"
